person_a	person_b	document_count
С.С. Раввы	Сталин	1
Ежов	П.К. Александрова	1
П.К. Александрова	Сталин	1
А.М. Непомнящего	Г.К. Орджоникидзе	1
Б.Г. Мдивани	Ежов	1
Б.Г. Мдивани	Сталин	1
А.И. Кармалитова	Ежов	1
А.И. Кармалитова	Сталин	1
Б.П. Нестерова	Ежов	1
Б.П. Нестерова	Сталин	1
А.И. Емшанова	Агранов	1
А.И. Емшанова	Сталин	1
Ежов	М.В. Бурштейном	1
М.В. Бурштейном	Сталин	1
Б.Е. Алдаданова	Ежов	1
Б.Е. Алдаданова	Сталин	1
Д.Я. Александрова	Ежов	1
Д.Я. Александрова	Сталин	1
Ежов	И.Н. Миронова	1
И.Н. Миронова	Сталин	1
А.В. Травиной	Ежов	1
А.В. Травиной	Сталин	1
Ежов	М.Я. Карпова	1
М.Я. Карпова	Сталин	1
Ежов	К.М. Ерофицкого	1
К.М. Ерофицкого	Сталин	1
К.С. Дорофеева	Сталин	1
М.И. Кахиани	Сталин	1
Ежов	М.И. Кахиани	1
Л.М. Каганович	М.И. Кахиани	1
И.Н. Маевского	М.И. Кахиани	1
И.Н. Маевского	Л.М. Каганович	1
Ежов	Л.Я. Любарского	1
Л.Я. Любарского	Сталин	1
Ежов	М.Г. Грольмана	1
М.Г. Грольмана	Сталин	1
М.М. Литвинова	Сталин	1
В.П. Потемкина	Сталин	1
А.М. Луцука	Ежов	1
А.М. Луцука	Сталин	1
А.А. Трояновского	Н.Н. Крестинского	1
В.В. Ульриху	Х.Г. Раковского	1
В.В. Ульриху	Ежов	1
А.И. Муралова	Л.З. Мехлиса	1
М.И. Калинину	Сталин	1
Ежов	Т.Р. Левиной	1
Сталин	Т.Р. Левиной	1
А.Н. Слепкова	Агранов	1
А.Н. Слепкова	Сталин	1
Агранов	П.Г. Петровского	1
П.Г. Петровского	Сталин	1
Г.Г. Ягода	К.И. Грюнштейна	1
К.И. Грюнштейна	Сталин	1
Е.В. Цетлина	Я.Э. Рудзутаку	1
Сталин	Я.Э. Рудзутаку	1
Агранов	Я.Э. Рудзутаку	1
Г.А. Молчанова	Я.Э. Рудзутаку	1
А.Ю. Айхенвальда	Д.А. Сниткиным	1
Г.Г. Ягода	Е.В. Цетлина	1
А.Ю. Айхенвальда	Астров	1
Агранов	П.К. Башенкова	1
П.К. Башенкова	Сталин	1
Агранов	Астров	1
Сталин	Э.З. Гольденберга	1
А.Д. Арефьевым	А.Н. Слепковым	1
Д.Ф. Бузиным	Н.А. Углановым	1
Агранов	Д.Ф. Бузина	1
Д.Ф. Бузина	Сталин	1
Н.А. Угланова	Сталин	1
Агранов	В.В. Кузьмина	1
А.Ю. Айхенвальда	Сталин	1
В.В. Кузьмина	Г.Г. Ягода	1
Е.М. Ярославским	Каменев	1
А.И. Рамм-Пфемферт	Л.Д. Троцкий	1
М.С. Богуславского	Смирнов	1
Е.А. Преображенского	Радек	1
Е.А. Преображенского	И.Т. Смилги	1
И.Т. Смилги	Радек	1
В.А. Антонов-Овсеенко	Н.Н. Крестинского	1
Сталин	Х.Г. Раковского	1
Сталин	Х.А. Лившиц	1
В.П. Потемкина	Н.Н. Крестинского	1
А.К. Язовских	Ежов	1
А.К. Язовских	Сталин	1
Г.А. Татулова	Ежов	1
Г.А. Татулова	Сталин	1
В.П. Шевелев-Лубков	Ежов	1
В.П. Шевелев-Лубков	Сталин	1
