person	organization	document_count	person_total_documents	share_of_person_documents
В.Д. Каспаровой	ЦК ВКП(б)	3	3	1.0
В.М. Попова	НКВД	3	7	0.4286
Г.Б. Синани-Скалов	ЦК ВКП(б)	3	12	0.25
Г.Е. Горбачева	ВКП(б)	3	3	1.0
Г.Е. Евдокимова	Политбюро	3	14	0.2143
Г.Е. Евдокимова	ЦК ВКП(б)	3	14	0.2143
Г.Е. Прокофьева	Правда	3	33	0.0909
Г.И. Сафарова	Правда	3	32	0.0938
Г.И. Сафарова	Совнарком	3	32	0.0938
Г.И. Сафаровым	ГУГБ	3	3	1.0
Г.И. Сафаровым	Коминтерн	3	3	1.0
Г.М. Аркуса	ГУГБ	3	6	0.5
Г.М. Артеменко	ВКП(б)	3	3	1.0
Г.М. Артеменко	ГУГБ	3	3	1.0
Г.Ф. Овчинникова	ВКП(б)	3	3	1.0
Г.Ф. Овчинникова	ГУГБ	3	3	1.0
Г.Ф. Овчинникова	ЦК ВКП(б)	3	3	1.0
Г.Ф. Федорова	ВКП(б)	3	8	0.375
Д.А. Шмидта	ОО ГУГБ НКВД	3	6	0.5
Д.А. Шмидта	ЦК ВКП(б)	3	6	0.5
Д.Н. Ширяева	ВКП(б)	3	6	0.5
Д.Н. Ширяева	ЦК ВКП(б)	3	6	0.5
Д.П. Марецкого	ВКП(б)	3	3	1.0
Дмитриев	Правда	3	17	0.1765
Е.В. Цетлина	ИККИ	3	20	0.15
Е.К. Коршунова	ГУГБ	3	3	1.0
Е.К. Коршунова	НКВД	3	3	1.0
Е.К. Мухановой	НКВД	3	13	0.2308
Е.К. Мухановой	Политбюро	3	13	0.2308
Е.К. Мухановой	ЦК ВКП(б)	3	13	0.2308
Ежов	Секретариат ЦИК СССР	3	466	0.0064
З.М. Беленького	ВКП(б)	3	4	0.75
Зиновьев	Известия	3	50	0.06
И.А. Князева	ВКП(б)	3	4	0.75
И.А. Князева	ГУГБ	3	4	0.75
И.Д. Турока	ВКП(б)	3	3	1.0
И.Д. Турока	ГУГБ	3	3	1.0
И.И. Бурлакова	ВКП(б)	3	3	1.0
И.И. Бурлакова	ГУГБ	3	3	1.0
И.И. Бурлакова	ЦК ВКП(б)	3	3	1.0
И.И. Горовича	ВКП(б)	3	4	0.75
И.И. Котолыновым	ГУГБ	3	3	1.0
И.И. Тарасова	ВКП(б)	3	8	0.375
И.И. Тарасова	НКВД	3	8	0.375
И.И. Трусова	ВКП(б)	3	4	0.75
И.К. Федотова	ВКП(б)	3	3	1.0
И.К. Федотова	ГУГБ	3	3	1.0
И.К. Федотова	НКВД	3	3	1.0
И.К. Федотова	ЦК ВКП(б)	3	3	1.0
И.М. Гуревича	ВКП(б)	3	6	0.5
И.М. Гуревича	НКВД	3	6	0.5
И.М. Гуревича	ЦК ВКП(б)	3	6	0.5
И.Н. Маевского	ВКП(б)	3	3	1.0
И.Н. Маевского	ЦК ВКП(б)	3	3	1.0
И.П. Бакаева	ИККИ	3	13	0.2308
И.П. Бакаевым	ГУГБ	3	3	1.0
И.С. Горшениным	ВКП(б)	3	5	0.6
И.С. Горшениным	ЦК ВКП(б)	3	5	0.6
И.Т. Смилги	ЦК ВКП(б)	3	4	0.75
К.Е. Ворошилова	Правда	3	4	0.75
К.И. Синелобовой	НКВД	3	3	1.0
К.Н. Лукницкого	ВКП(б)	3	3	1.0
К.Н. Лукницкого	Известия	3	3	1.0
Каменев	Известия	3	26	0.1154
Каменев	КПК	3	26	0.1154
Л.А. Лаврентьева	ГУГБ	3	3	1.0
Л.З. Мехлиса	НКВД	3	6	0.5
Л.И. Сосицкого	ГУГБ	3	4	0.75
Л.М. Каганович	Коминтерн	3	11	0.2727
Л.М. Марьясина	ВКП(б)	3	3	1.0
Л.М. Марьясина	ГУГБ	3	3	1.0
Л.М. Марьясина	НКВД	3	3	1.0
Л.М. Марьясина	ЦК ВКП(б)	3	3	1.0
Л.П. Серебрякова	ВКП(б)	3	3	1.0
Л.П. Серебрякова	ГУГБ	3	3	1.0
Л.П. Серебрякова	ЦК ВКП(б)	3	3	1.0
Л.П. Серебряковым	ВКП(б)	3	3	1.0
Л.П. Серебряковым	ГУГБ	3	3	1.0
Л.П. Серебряковым	ЦК ВКП(б)	3	3	1.0
Л.С. Сосновского	Известия	3	5	0.6
Л.С. Сосновского	Политбюро	3	5	0.6
Л.С. Сосновского	Правда	3	5	0.6
Л.Ф. Дитятевой	НКВД	3	5	0.6
М.А. Нырчука	НКВД	3	9	0.3333
М.В. Бурштейном	ГУГБ	3	3	1.0
М.В. Бурштейном	НКВД	3	3	1.0
М.В. Королькова	НКВД	3	7	0.4286
М.И. Лурье	ВКП(б)	3	3	1.0
М.И. Лурье	ЦК ВКП(б)	3	3	1.0
М.Л. Быховского	ВКП(б)	3	3	1.0
М.Л. Быховского	ГУГБ	3	3	1.0
М.М. Харитонова	НКВД	3	11	0.2727
М.Н. Яковлева	Коминтерн	3	9	0.3333
М.Н. Яковлева	ЦК ВКП(б)	3	9	0.3333
М.О. Зюка	ВКП(б)	3	3	1.0
М.О. Зюка	НКВД	3	3	1.0
М.П. Томского	Политбюро	3	4	0.75
